aba	阿坝
gushiji	故事集
gushishu	故事书
gushiwen	古诗文
gushixing	故事性
gushu	鼓书
gusu	姑苏
gusuiku	骨髓库
gusuiliu	骨髓瘤
gusuiyan	骨髓炎
guteyi	固特异
gutianle	古天乐
gutifeiqiwu	固体废弃物
gutoubuguwei	顾头不顾尾
gutoutang	骨头汤
guwentuan	顾问团
guxiang	骨相
guxijun	古细菌
guxinshi	古新世
guya	古雅
guyanwu	顾炎武
guyi	古意
guyishanghaizui	故意伤害罪
guyisharenzui	故意杀人罪
guyuan	古猿
guyuan	固原
guyue	鼓乐
guzhen	古镇
guzhi	骨质
guzhuangpian	古装片
guzuzhi	骨组织
hadeng	哈登
haerbingongchengdaxue	哈尔滨工程大学
haerbingongyedaxue	哈尔滨工业大学
haerbinjunshigongchengxueyuan	哈尔滨军事工程学院
haerbinligongdaxue	哈尔滨理工大学
hafushangxueyuan	哈佛商学院
hagongda	哈工大
hahaha	哈哈哈
haidian	海淀
haidianqu	海淀区
haidiao	海雕
haier	海尔
haifeisi	海飞丝
haiguai	海怪
haijingfang	海景房
haijinsha	海金沙
haiku	害苦
haikuopingyuyue	海阔凭鱼跃
hailiu	海流
hailu	海路
hailufeng	海陆风
hailun	海轮
haiman	海鳗
haimingwei	海明威
hainan	海南
haineicunzhiji	海内存知己
haipai	海派
haipaoshi	海泡石
haipi	嗨皮
hairui	海瑞
haisenbao	海森堡
haishangfa	海商法
haishangshengmingyue	海上生明月
haishe	海蛇
haishou	海兽
haitu	海图
haiwang	海王
haiwu	海雾
haixia	海虾
haixie	海蟹
haixin	海信
haiya	海牙
haiyan	海燕
haiyangfa	海洋法
haiyangneng	海洋能
haizhepi	海蜇皮
halaimu	哈莱姆
halalei	哈拉雷
hali	哈利
halifakesi	哈利法克斯
hamasi	哈马斯
hami	哈密
hamidun	哈密顿
hanban	韩版
hanbing	寒冰
hanbingchang	旱冰场
hanbingxie	旱冰鞋
hancan	韩餐
hancencen	汗涔涔
hanchao	汉朝
hancheng	汉城
handai	汉代
handan	邯郸
handao	旱稻
handi	旱地
hanfei	韩非
hanfeizi	韩非子
hanfeng	焊缝
hangaozu	汉高祖
hangbaiju	杭白菊
hangbangcai	杭帮菜
hangdao	巷道
hangeng	韩庚
hanghaitu	航海图
hangjiao	杭椒
hangkongbing	航空兵
hanglidai	行李袋
hanglijia	行李架
hangshidayinji	行式打印机
hangtianfu	航天服
hangtianzhan	航天站
hangtuqiang	夯土墙
hanguang	寒光
hangweifan	行为犯
hangxiangliang	行向量
hangxingdeng	航行灯
hangyou	航油
hangzhengchufafa	行政处罚法
hangzhengguanlixue	行政管理学
hangzhouhua	杭州话
hangzhouwan	杭州湾
hanhan	憨憨
hanhan	韩寒
hanhaoniao	寒号鸟
hanhen	含恨
hanhua	汉化
hanhuaban	汉化版
hanhuabao	汉化包
hanji	旱季
hanji	焊机
hanjiao	汗脚
hanjingdi	汉景帝
hanju	汉剧
hanlao	旱涝
hanliang	寒凉
hanlianshe	韩联社
hanlin	翰林
hanlingdi	汉灵帝
hanlu	寒露
hanma	悍马
hanmai	喊麦
hanmei	寒梅
hanmei	韩媒
hanmo	汉末
hanniba	汉尼拔
hannuota	汉诺塔
hanran	酣然
hanren	汉人
hanse	寒色
hansha	汉莎
hanshansi	寒山寺
hanshi	寒湿
hanshi	韩式
hanshijie	寒食节
hanshizhong	韩世忠
hanshouban	函授班
hanshu	寒暑
hanshu	汉书
hanshubiao	寒暑表
hanshui	汉水
hanshuiliang	含水量
hanshuilv	含水率
hanshuku	函数库
hantangliang	含糖量
hantian	旱田
hantiao	焊条
hanwen	汉文
hanwendi	汉文帝
hanxiandi	汉献帝
hanxiao	憨笑
hanxin	韩信
hanxuandi	汉宣帝
hanxue	汉学
hanxun	函询
hanyang	含氧
hanyangliang	含氧量
hanyanliang	含盐量
hanyi	汉译
hanyu	韩愈
hanyuandi	汉元帝
hanyuefu	汉乐府
hanyuyan	汉语言
hanzeibuliangli	汉贼不两立
hanzhan	寒颤
hanzhen	汗疹
hanzheng	汗蒸
hanzi	汗渍
hanzu	汉族
haocaitou	好彩头
haocao	蒿草
haochufei	好处费
haodianliang	耗电量
haodu	豪赌
haoduan	号段
haohaidong	郝海东
haoheng	豪横
haohuaban	豪华版
haojie	耗竭
haoke	浩克
haolai	好赖
haoli	毫厘
haolilai	好利来
haonaner	好男儿
haopinglv	好评率
haoqing	豪情
haoshen	耗神
haoshengxin	好胜心
haotao	号啕
haowaner	好玩儿
haowen	好闻
haoyin	豪饮
haoyong	耗用
haoyou	耗油
haoyouduo	好又多
haoyue	皓月
haozi	蒿子
haoziyao	耗子药
haqi	哈气
harizu	哈日族
hasake	哈萨克
hawana	哈瓦那
hayeke	哈耶克
heaixing	褐矮星
hebao	核爆
hebeishifandaxue	河北师范大学
hebi	鹤壁
hechangdui	合唱队
hechengkongjingleida	合成孔径雷达
hechi	河池
heci	核磁
hedaji	核打击
hedanbai	核蛋白
hedaotan	核导弹
hedeng	河灯
hedi	河堤
hedinghong	鹤顶红
hedongshi	河东狮
heduan	河段
hefa	核发
hefeigongyedaxue	合肥工业大学
hefeiliao	核废料
hegang	鹤岗
hegangshi	鹤岗市
hegepin	合格品
hegongda	合工大
hegu	颌骨
hehongse	褐红色
hehuachi	荷花池
hehuanshu	合欢树
heibaipian	黑白片
heibaiqi	黑白棋
heibanca	黑板擦
heibao	黑豹
heidou	黑豆
heiguafu	黑寡妇
heiguo	黑锅
heihai	黑海
heihuhu	黑乎乎
heihuo	黑货
heiliangliang	黑亮亮
heiliao	黑料
heilongjiang	黑龙江
heimengmeng	黑蒙蒙
heimi	黑米
heimofa	黑魔法
heipi	黑啤
heipijiu	黑啤酒
heiqiang	黑枪
heiqumei	黑曲霉
heirebing	黑热病
heisenlin	黑森林
heishili	黑势力
heisi	黑丝
heisuibing	黑穗病
heitanmu	黑檀木
heitou	黑头
heiwukuang	黑钨矿
heixian	黑线
heixinchang	黑心肠
heixinmian	黑心棉
heixinqian	黑心钱
heiyaya	黑压压
heiyehou	黑叶猴
heiying	黑鹰
heiyouyou	黑油油
heiyouyou	黑黝黝
heiyu	黑鱼
heiyunyachengchengyucui	黑云压城城欲摧
heizao	黑枣
heizhensuo	黑诊所
heizhenzhu	黑珍珠
heizhima	黑芝麻
heizhongjie	黑中介
heizhongren	黑种人
heizi	黑字
heizuofang	黑作坊
hejia	阖家
hejiahuan	阖家欢
hejian	核减
hejingang	合金钢
hejinqu	喝进去
hejiong	何炅
helakelite	赫拉克利特
helandun	荷兰盾
helanju	荷兰菊
helanwen	荷兰文
helanzhu	荷兰猪
helasi	贺拉斯
heli	核力
hema	荷马
hemei	核酶
hemianbu	颌面部
hemin	赫敏
hemo	核膜
hemudu	河姆渡
henanshifandaxue	河南师范大学
henbuneng	恨不能
hengban	横版
hengda	恒大
hengdeer	亨德尔
hengdi	横笛
hengduanshan	横断山
henggan	横杆
hengli	亨利
hengliang	恒量
hengping	横屏
hengqiemian	横切面
hengshan	恒山
hengsheng	恒生
hengshuishi	衡水市
hengwenxiang	恒温箱
hengxingri	恒星日
hengyang	衡阳
hengyuanxiang	恒源祥
hengzhi	恒指
hengzhi	横置
hengzhou	横轴
henian	贺年
henla	狠辣
henliang	痕量
hepaipian	合拍片
hepingjiang	和平奖
heqin	和亲
heshan	河山
heshen	和珅
heshigu	核事故
hesuanmei	核酸酶
hesuipian	贺岁片
hetang	荷塘
hetaomu	核桃木
hetaoshu	核桃树
hetaoyou	核桃油
heti	赫梯
hetiekuang	褐铁矿
hetonggong	合同工
hetongshu	合同书
hetongzhi	合同制
hewanglan	鹤望兰
heweixie	核威胁
hexia	河虾
hexiangning	何香凝
hexiaxian	颌下腺
hexielou	核泄漏
hexuli	赫胥黎
heyan	核验
heyecha	荷叶茶
heyingqin	何应钦
heyizhi	合议制
heyuan	河源
hezai	荷载
hezao	褐藻
hezha	合闸
hezhanlve	核战略
hezhizhang	贺知章
hezhou	贺州
hezhuang	盒装
hezong	合纵
hongbaishi	红白事
hongbang	红榜
hongbaoshu	红宝书
hongbi	红笔
hongcancan	红灿灿
hongchengchou	洪承畴
hongchong	红虫
hongdian	红点
hongdoushan	红豆杉
hongerfangmianjun	红二方面军
hongfu	鸿福
hongfushi	红富士
hongguan	红馆
honghaier	红孩儿
honghehanizuyizuzizhizhou	红河哈尼族彝族自治州
honghese	红褐色
honghu	红狐
honghuang	洪荒
honghuchiweidui	洪湖赤卫队
hongjiao	红椒
hongkouqu	虹口区
hongkouzuqiuchang	虹口足球场
hongliu	红柳
hongmei	红梅
hongmi	红米
hongmofang	红磨坊
hongniu	红牛
hongpishu	红皮书
hongqigong	洪七公
hongqiqu	红旗渠
hongquan	洪拳
hongrang	红壤
hongshan	红杉
hongshaoyu	红烧鱼
hongsheng	红绳
hongshuangxi	红双喜
hongsifangmianjun	红四方面军
hongsong	红松
hongtashan	红塔山
hongtongtong	红通通
hongwaideng	红外灯
hongwaiguang	红外光
hongwaiguangpuyi	红外光谱仪
hongwu	洪武
hongxiaobing	红小兵
hongxiaodou	红小豆
hongxinyue	红新月
hongxue	红学
hongxuesi	红血丝
hongyifangmianjun	红一方面军
hongyuhei	红与黑
hongyun	鸿运
hongzao	红藻
hongzehu	洪泽湖
hongzhang	红掌
hongzhen	红疹
hongzhizhu	红蜘蛛
hongzhuan	红砖
hongzong	红棕
hongzunyu	虹鳟鱼
houai	喉癌
houbaolin	侯宝林
houchang	后场
houdie	后爹
houfangxian	后防线
houheixue	厚黑学
houhoude	厚厚的
houhuan	后患
houhuiyao	后悔药
houji	候机
houjin	后晋
houjin	后金
houjinsheng	后进生
houjishi	候机室
houlaizhe	后来者
houlang	后浪
houpu	厚朴
houqu	后驱
houshi	后市
houshitu	后视图
houtang	后唐
houtui	后腿
houwang	猴王
houxiandai	后现代
houxiaoxian	侯孝贤
houxuanci	候选词
houyi	后移
houyi	后羿
houyuantuan	后援团
houzang	厚葬
houzhao	后赵
houzhou	后周
houzhuiming	后缀名
houzuoli	后座力
huaban	画板
huabei	花呗
huabeidianlidaxue	华北电力大学
huabiaojiang	华表奖
huabingchang	滑冰场
huabingxie	滑冰鞋
huabu	华埠
huacheng	花城
huadao	滑道
huadao	花道
huadenghao	划等号
huadong	华东
huadongligongdaxue	华东理工大学
huadongshifandaxue	华东师范大学
huaerjie	华尔街
huafenguan	花粉管
huafu	华服
huagai	滑盖
huagu	花菇
huagui	滑轨
huaguniang	花姑娘
huaguofeng	华国锋
huaguoqu	滑过去
huaguoshan	花果山
huahangdao	滑行道
huaidian	坏点
huaieming	怀俄明
huaiguanjie	踝关节
huaihua	怀化
huaihua	槐花
huaiju	淮剧
huaijun	淮军
huailian	怀恋
huainan	淮南
huainanzi	淮南子
huaisu	怀素
huaixiaoxi	坏消息
huaixinyan	坏心眼
huaiyangcai	淮扬菜
huaiyilun	怀疑论
huajia	花架
huajian	化简
huajiaofen	花椒粉
huajiaomian	花椒面
huajiaoyou	花椒油
huajie	划界
huajiju	滑稽剧
huajing	化境
huajixi	滑稽戏
huaju	画具
huajutuan	话剧团
hualan	花篮
hualao	话唠
hualian	花脸
hualimu	花梨木
hualuogeng	华罗庚
huameinan	花美男
huameiniao	画眉鸟
huamiangan	画面感
huamingce	花名册
huamoyan	滑膜炎
huana	华纳
huanan	华南
huananhu	华南虎
huananligongdaxue	华南理工大学
huanannongyedaxue	华南农业大学
huanbaofa	环保法
huanbohai	环渤海
huanchongqi	缓冲期
huanci	环伺
huanen	滑嫩
huaneng	华能
huanfang	幻方
huangama	皇阿玛
huangan	磺胺
huangbo	黄渤
huangcancan	黄灿灿
huangchao	黄巢
huangcheng	皇城
huangdanju	荒诞剧
huangdaomian	黄道面
huangdeng	黄灯
huangdi	黄帝
huangdiling	黄帝陵
huangdouya	黄豆芽
huangdudu	黄赌毒
huange	欢歌
huangfu	皇甫
huanggai	黄盖
huanggang	黄冈
huanggongwang	黄公望
huangguifei	皇贵妃
huangguoshu	黄果树
huanghelou	黄鹤楼
huanghesanjiaozhou	黄河三角洲
huanghuabing	黄化病
huanghuai	黄淮
huanghuaihaipingyuan	黄淮海平原
huanghuali	黄花梨
huanghuangbukezhongri	惶惶不可终日
huangjiao	黄教
huangjiguang	黄继光
huangjin	黄巾
huangjinjun	黄巾军
huanglei	黄磊
huangli	皇历
huangling	皇陵
huanglu	黄栌
huangma	皇马
huangmagua	黄马褂
huangmao	黄毛
huangmei	黄梅
huangmeitian	黄梅天
huangmeixi	黄梅戏
huangmi	黄米
huangni	黄泥
huangniudang	黄牛党
huangpao	黄袍
huangpishu	黄皮书
huangpu	黄埔
huangpu	黄浦
huangpujiang	黄浦江
huangqin	皇亲
huangqin	黄芩
huangquan	黄泉
huangran	惶然
huangshi	黄石
huangshuichuang	黄水疮
huangshulang	黄鼠狼
huangsuan	磺酸
huangtaiji	皇太极
huangtang	黄糖
huangtao	黄桃
huangtingjian	黄庭坚
huanguolai	换过来
huangxiaoming	黄晓明
huangxing	黄兴
huangxiong	皇兄
huangyan	晃眼
huangyang	黄杨
huangyanpei	黄炎培
huangyaoshi	黄药师
huangzhong	黄忠
huangzhongren	黄种人
huangzongxi	黄宗羲
huanhangfu	换行符
huanhui	换汇
huanhuo	换货
huaniaohua	花鸟画
huanjichun	环己醇
huanjingbaohubu	环境保护部
huanjingbaohuju	环境保护局
huanjingguang	环境光
huanjiwan	环己烷
huanlegu	欢乐谷
huanliuzhan	换流站
huannao	欢闹
huanqin	换亲
huanqishan	换气扇
huanraosheng	环绕声
huanre	换热
huanshang	换上
huanshi	幻视
huanshi	缓释
huanshoulv	换手率
huansi	环伺
huanweigong	环卫工
huanxiangfa	换向阀
huanxing	环行
huanxing	缓行
huanxisha	浣溪沙
huanyang	环氧
huanyijian	换衣间
huanyingci	欢迎辞
huanyinghui	欢迎会
huanyuandian	还原点
huanyuanlun	还原论
huanyuanxing	还原性
huanyue	欢跃
huanyuesong	欢乐颂
huapan	花盘
huaqiaocheng	华侨城
huaqingchi	华清池
huaquan	画圈
huarongdao	华容道
huarun	华润
huashang	华商
huashang	画商
huashansong	华山松
huashengdundaxue	华盛顿大学
huashengdunyoubao	华盛顿邮报
huashengtang	花生糖
huashengyou	花生油
huashi	华氏
huashidu	华氏度
huashuo	华硕
huatangqiang	滑膛枪
huatielu	滑铁卢
huatieluzhanyi	滑铁卢战役
huatuban	画图板
huatuo	华佗
huawaiyin	话外音
huawen	华文
huawu	话务
huaxia	华夏
huaxiangshi	画像石
huaxiangzhuan	画像砖
huaxidushibao	华西都市报
huaxueke	化学课
huaxueshi	化学势
huaxuexie	滑雪鞋
huayandan	化验单
huayanjing	华严经
huayanshi	化验室
huayanzong	华严宗
huayi	华谊
huayu	华语
huayuan	画院
huayue	华约
huazhi	画纸
huazhong	华中
huazhonghua	画中画
huazhongnongyedaxue	华中农业大学
huazhongshifandaxue	华中师范大学
huazhuan	花砖
huazhuangbao	化妆包
huazhuangjian	化妆间
huazhuangjing	化妆镜
huazhuangmian	化妆棉
huazhuangtai	化妆台
huazigu	滑子菇
huban	护板
huban	虎斑
hubei	湖北
hubeishengbowuguan	湖北省博物馆
hubi	护臂
hubi	湖笔
hubilie	忽必烈
hubu	户部
hubuqinfantiaoyue	互不侵犯条约
hucai	沪菜
hucaozuo	互操作
huchazi	胡茬子
hudi	忽地
hudian	护垫
hudieyu	蝴蝶鱼
hudongxing	互动性
huercao	虎耳草
hufa	护发
hufu	胡夫
hufupin	护肤品
hufushuang	护肤霜
hugai	壶盖
hugan	互感
huganqi	互感器
huge	胡歌
hugujiu	虎骨酒
huhan	弧焊
huibi	挥笔
huibianqi	汇编器
huibiao	会标
huibo	回拨
huibulai	回不来
huicai	徽菜
huican	会餐
huiche	回撤
huichenchen	灰沉沉
huichengpiao	回程票
huicun	惠存
huierpu	惠而浦
huifen	灰分
huifeng	汇丰
huifulv	回复率
huigu	回鹘
huihe	回纥
huihong	恢弘
huihua	灰化
huihuaceng	会话层
huihuan	回环
huihui	会徽
huijiao	回教
huijiaotu	回教徒
huijifa	会计法
huijixue	会计学
huiju	会聚
huikan	会刊
huikuandan	汇款单
huili	回力
huilongjiao	回笼觉
huiluzui	贿赂罪
huilvse	灰绿色
huimeibing	灰霉病
huimin	回民
huipai	徽派
huipupu	灰扑扑
huiqian	会签
huiqianfang	回迁房
huirui	辉瑞
huishang	徽商
huishi	汇市
huishou	回手
huishu	灰鼠
huishui	回水
huitiao	回调
huituban	绘图板
huituyi	绘图仪
huituyuan	绘图员
huiwei	彗尾
huiwenshi	回文诗
huiwu	会务
huixiang	回乡
huiyinbi	回音壁
huiyizhuo	会议桌
huiyuanfei	会员费
huiyuanjia	会员价
huiyuanka	会员卡
huizhangyan	辉长岩
huizhanye	会展业
huizhi	会址
huizhi	灰质
huizhijia	灰指甲
huizhou	徽州
huizu	回族
hujian	护肩
hujiaomian	胡椒面
hujiashibapai	胡笳十八拍
hujidi	户籍地
hujijing	户籍警
huju	护具
huju	沪剧
hulaoguan	虎牢关
hulatang	胡辣汤
hulianwangxieyi	互联网协议
hulin	护林
hulinyuan	护林员
huliyuan	护理员
huluwa	葫芦娃
humen	虎门
humian	弧面
humian	湖面
huming	户名
hunancai	湖南菜
hunanhua	湖南话
hunanshifandaxue	湖南师范大学
hunantai	湖南台
hunchenchen	昏沉沉
hundan	浑蛋
hundong	混动
hundouluo	魂斗罗
hunguan	昏官
hunguoqu	混过去
hunheqi	混合器
hunjian	婚检
hunjie	婚戒
hunjinqu	混进去
hunju	混居
hunshazhao	婚纱照
hunshengzi	婚生子
hunshi	婚史
hunshi	荤食
hunshuang	混双
hunshui	浑水
hunsi	昏死
hunwailian	婚外恋
hunxiang	混响
hunyong	混用
hunyu	婚育
huobihua	货币化
huobuliao	活不了
huochaihe	火柴盒
huochang	货场
huodan	货单
huodianchang	火电厂
huodianzhan	火电站
huoditu	活地图
huodongliang	活动量
huoduan	祸端
huoer	霍尔
huoermuzihaixia	霍尔木兹海峡
huofa	活法
huofang	伙房
huofu	活佛
huoguan	火罐
huohao	货号
huohezai	活荷载
huohuade	霍华德
huohuaneng	活化能
huojian	火碱
huojiandui	火箭队
huojin	霍金
huokang	火炕
huokou	豁口
huolang	货郎
huoleifeng	活雷锋
huoliang	豁亮
huolidian	火力点
huoliwang	火力网
huoluo	活络
huomeini	霍梅尼
huomianji	和面机
huopin	火拼
huopujinsidaxue	霍普金斯大学
huoqi	火漆
huorong	火绒
huosaidui	活塞队
huosaihuan	活塞环
huoweiyi	火卫一
huoxingche	火星车
huoxingyang	活性氧
huoyaoku	火药库
huoyaotong	火药桶
huoye	活页
huoyejia	活页夹
huoyezhi	活页纸
huoying	火影
huoyuan	火源
huoyuanjia	霍元甲
huoyunliang	货运量
huozhu	货主
huozipang	火字旁
huoziyinshuashu	活字印刷术
huozui	豁嘴
hupai	胡牌
hupo	护坡
huposuan	琥珀酸
hupu	虎扑
huqiangban	护墙板
huqishou	护旗手
huquanqiu	弧圈球
huranjian	忽然间
hurong	互溶
husaier	胡塞尔
huse	湖色
husha	虎鲨
hushan	互删
hushao	呼哨
hushijie	护士节
hushu	户数
hushui	湖水
husi	互撕
husuo	互锁
hutao	护套
hutaomu	胡桃木
hutiaoxia	虎跳峡
hutouxie	虎头鞋
hutudan	糊涂蛋
hutui	护腿
huwan	护腕
huwei	互为
huweidui	护卫队
huxian	狐仙
huxianqiu	弧线球
huxifa	呼吸阀
huxiji	呼吸肌
huxike	呼吸科
huxingtu	户型图
huxinxi	互信息
huxue	虎穴
huyan	护眼
huyandeng	护眼灯
huyao	护腰
huzhao	护罩
huzhi	互质
huzhiming	胡志明
huzhou	湖州
huzhuang	糊状
huzhuzu	互助组
jiabajin	加把劲
jiabanche	加班车
jiabaoyu	贾宝玉
jiachangfan	家常饭
jiachanghua	家常话
jiachanghui	家长会
jiachangshi	钾长石
jiacheng	加成
jiadaoxue	假道学
jiaechou	假恶丑
jiaerwen	加尔文
jiafang	家访
jiafaqi	加法器
jiafei	钾肥
jiafeimao	加菲猫
jiafeng	家风
jiagongfei	加工费
jiahou	加厚
jiahuiqu	加回去
jiajian	加减
jiajian	甲减
jiajianfa	加减法
jiajiehun	假结婚
jiajiemao	假睫毛
jiajieshi	佳洁士
jiajigong	甲基汞
jiajihua	甲基化
jiajing	嘉靖
jiajinlai	加进来
jiajinqu	加进去
jiajiu	假酒
jiaju	佳句
jiajucheng	家具城
jiajufu	家居服
jiakechong	甲壳虫
jiakelei	甲壳类
jiakeshan	夹克衫
jialapagesi	加拉帕戈斯
jialefu	家乐福
jialian	加练
jialifuniya	加利福尼亚
jialifuniyadaxue	加利福尼亚大学
jialifuniyazhou	加利福尼亚州
jialimandandao	加里曼丹岛
jialingjiang	嘉陵江
jialininggelei	加里宁格勒
jialiren	家里人
jiama	伽马
jiamengfei	加盟费
jiamiao	家庙
jiamigou	加密狗
jiamou	加缪
jiamubiao	价目表
jiana	戛纳
jianai	简爱
jianailiang	贾乃亮
jianan	迦南
jianbao	煎包
jianbing	尖兵
jianbingqi	间冰期
jianbuzhaiwangguo	柬埔寨王国
jianbuzhao	见不着
jiancan	简餐
jiancang	建仓
jiancedian	检测点
jianceqi	监测器
jiancezhan	监测站
jianchadian	检查点
jianchang	建厂
jianchayuan	检察员
jianchayuan	监察员
jianchazu	检查组
jianchu	溅出
jianci	尖刺
jiandanju	简单句
jiandati	简答题
jiandi	歼敌
jiandingren	鉴定人
jianduyuan	监督员
jianfa	剪发
jianfeiyao	减肥药
jiangbao	酱爆
jiangbei	江北
jiangcai	酱菜
jiangcha	姜茶
jiangdang	降档
jiangdoufu	酱豆腐
jiangfa	奖罚
jianghongse	绛红色
jianghu	江户
jianghu	糨糊
jianghuai	江淮
jianghuanggua	酱黄瓜
jiangjing	讲经
jiangjingguo	蒋经国
jiangjunling	将军令
jiangliao	浆料
jiangmenshi	江门市
jiangmi	降幂
jiangmo	姜末
jiangniurou	酱牛肉
jiangpaichang	讲排场
jiangpin	降频
jiangqi	匠气
jiangqing	江青
jiangrou	酱肉
jiangshui	浆水
jiangsi	僵死
jiangsu	江苏
jiangsu	降速
jiangsusheng	江苏省
jiangtaigongdiaoyu	姜太公钓鱼
jiangtan	江滩
jiangtang	姜汤
jiangtang	降糖
jianguan	兼管
jianguanjie	肩关节
jiangweisheng	讲卫生
jiangwen	姜文
jiangxiang	酱香
jiangxianghe	将相和
jiangxiangxing	酱香型
jiangxiaqu	降下去
jiangxibao	浆细胞
jiangxin	降薪
jiangxinongyedaxue	江西农业大学
jiangxishifandaxue	江西师范大学
jiangxueliang	降雪量
jiangxuezhi	降血脂
jiangya	酱鸭
jiangyaozhu	江瑶柱
jiangye	浆液
jiangyin	江阴
jiangzhe	江浙
jiangzhehu	江浙沪
jiangzhi	酱汁
jiangzhi	降脂
jiangzise	绛紫色
jiangziya	姜子牙
jiangzui	犟嘴
jianhang	建行
jianhushi	监护室
jianjiao	键角
jianjiaosheng	尖叫声
jianjie	简捷
jianjing	肩颈
jianjingshi	尖晶石
jianjinshi	渐进式
jianjunjie	建军节
jiankangzheng	健康证
jiankaoguan	监考官
jiankaoyuan	监考员
jiankongqi	监控器
jiankongshi	监控室
jiankou	缄口
jiankuan	肩宽
jiankuang	简况
jianlan	剑兰
jianlang	健朗
jianliang	减量
jianliqiang	剪力墙
jianlou	箭楼
jianmian	碱面
jiannanchun	剑南春
jianpao	舰炮
jianpi	健脾
jianpianyi	捡便宜
jianpiao	剪票
jianpiaoyuan	检票员
jianping	简评
jianpolan	捡破烂
jianqi	剑气
jianqiang	渐强
jianqiao	剑桥
jianqiao	剑鞘
jianqilai	捡起来
jianqun	建群
jianrongji	兼容机
jianse	艰涩
jianse	间色
jianshangli	鉴赏力
jiansheju	建设局
jianshenche	健身车
jianshenka	健身卡
jianshenqi	健身器
jianshenqiu	健身球
jianshi	监事
jianshitansuantong	碱式碳酸铜
jiansuji	减速机
jiantaoshu	检讨书
jianti	舰体
jiantie	剪贴
jiantiehua	剪贴画
jiantingqi	监听器
jiantong	箭筒
jiantu	简图
jianwei	键位
jianwendi	建文帝
jianxi	简析
jianxian	剑仙
jianxieqi	间歇期
jianxiequan	间歇泉
jianyanke	检验科
jianyao	煎药
jianyizhan	检疫站
jianyu	箭鱼
jianyu	鲣鱼
jianyuzhang	监狱长
jianzhen	鉴真
jianzhenqi	减振器
jianzhi	减值
jianzhi	键值
jianzhizhen	建制镇
jianzhong	间种
jianzhu	煎煮
jianzhu	箭猪
jianzhuangban	简装版
jianzhuangxing	健壮性
jianzhushang	建筑商
jianzouqu	间奏曲
jiaobaijuan	交白卷
jiaobanbang	搅拌棒
jiaobanche	搅拌车
jiaobanqi	搅拌器
jiaobu	脚部
jiaocheng	脚撑
jiaocun	缴存
jiaodai	胶袋
jiaodaochu	教导处
jiaodaoyuan	教导员
jiaodian	脚垫
jiaodiban	脚底板
jiaodong	胶东
jiaodouchang	角斗场
jiaoduiyuan	校对员
jiaofa	脚法
jiaogan	交感
jiaogao	交稿
jiaogong	教工
jiaoguan	胶管
jiaoguanju	交管局
jiaohan	娇憨
jiaohang	交行
jiaohe	校核
jiaohei	焦黑
jiaohuang	搅黄
jiaohuangguo	教皇国
jiaohuantai	交换台
jiaohuazi	叫化子
jiaohuidian	交汇点
jiaohun	搅浑
jiaohuxing	交互性
jiaojia	叫价
jiaojiquan	交际圈
jiaokewenzuzhi	教科文组织
jiaokuan	交款
jiaolan	娇兰
jiaoli	脚力
jiaolian	交联
jiaolianche	教练车
jiaoliuhui	交流会
jiaoma	叫骂
jiaomei	焦煤
jiaopi	胶皮
jiaoqiao	娇俏
jiaorou	娇柔
jiaoshawan	角鲨烷
jiaoshe	骄奢
jiaoshijie	教师节
jiaoshou	叫兽
jiaosipang	绞丝旁
jiaosuofan	教唆犯
jiaosuozui	教唆罪
jiaotiao	胶条
jiaotijin	胶体金
jiaoting	教廷
jiaotongjing	交通警
jiaotongting	交通厅
jiaotongxian	交通线
jiaotongyunshuye	交通运输业
jiaowei	教委
jiaowuchu	教务处
jiaoxian	郊县
jiaoxue	胶靴
jiaoxunjing	交巡警
jiaoyang	娇养
jiaoyanzu	教研组
jiaoyi	教益
jiaoyiliang	交易量
jiaoyishui	交易税
jiaoyubu	教育部
jiaoyufa	教育法
jiaoyulu	焦裕禄
jiaoyun	搅匀
jiaoyunshi	娇韵诗
jiaoyuzhe	教育者
jiaozao	骄躁
jiaozhengqi	矫正器
jiaozhi	教职
jiaozhi	较之
jiaozhihua	角质化
jiaozhijia	脚趾甲
jiaozhouwan	胶州湾
jiaozhua	脚爪
jiaozi	交子
jiaozi	骄子
jiaozipi	饺子皮
jiaozixian	饺子馅
jiaozuo	叫座
jiaozuo	焦作
jiaozuoshi	焦作市
jiapenggongheguo	加蓬共和国
jiaqiangban	加强版
jiaqiaochongyuedui	甲壳虫乐队
jiaqing	加氢
jiaqing	嘉庆
jiaquan	家犬
jiareqi	加热器
jiasai	加塞
jiasaier	加塞儿
jiasha	加沙
jiashi	家史
jiashibo	嘉士伯
jiashide	佳士得
jiashitai	驾驶台
jiashizuo	驾驶座
jiashu	家书
jiashu	家鼠
jiashui	假睡
jiashulou	家属楼
jiashuyuan	家属院
jiasixie	贾思勰
jiasuanna	甲酸钠
jiasuo	加锁
jiatailuoniya	加泰罗尼亚
jiatailuoniyayu	加泰罗尼亚语
jiatelin	加特林
jiatu	家兔
jiaxiao	假笑
jiaxing	嘉兴
jiaxinwen	假新闻
jiaxue	家学
jiayi	嫁衣
jiayi	贾谊
jiayuan	加元
jiazao	甲藻
jiazei	家贼
jiazhangshi	家长式
jiazhilian	价值链
jiazhilun	价值论
jiazhou	加州
jiazhouligongxueyuan	加州理工学院
jiazhuang	加装
jiazhuang	家装
